codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,pagina_catalogo,estado_previo,confianza_extraccion,requiere_revision
44062,kg,"%ensores de acero¯ gancho-gancho - 3 1⁄2"" (90 mm) 5⁄sx"" (8 mm)",%ensores de acero¯ gancho-gancho,"3 1⁄2"" (90 mm) 5⁄sx"" (8 mm)",,39,43,47,538,enriquecido,baja,true
44063,kg,"%ensores de acero¯ gancho-gancho - 4"" (100 mm) 3⁄8"" (10 mm)",%ensores de acero¯ gancho-gancho,"4"" (100 mm) 3⁄8"" (10 mm)",,52,57,62,538,enriquecido,baja,true
44067,kg,"de acero 5orjado¯ gancho-ojo - 6"" (150 mm) 1⁄2"" (13 mm)",de acero 5orjado¯ gancho-ojo,"6"" (150 mm) 1⁄2"" (13 mm)",,150,165,180,538,enriquecido,baja,true
44068,kg,"de acero 5orjado¯ gancho-ojo - 9"" (225 mm) 5⁄8"" (16 mm)",de acero 5orjado¯ gancho-ojo,"9"" (225 mm) 5⁄8"" (16 mm)",,275,300,330,538,enriquecido,baja,true
43917,kg,"de acero 5orjado¯ gancho-ojo - 12"" (300 mm) 5⁄8"" (16 mm)",de acero 5orjado¯ gancho-ojo,"12"" (300 mm) 5⁄8"" (16 mm)",,300,330,360,538,enriquecido,baja,true
44069,kg,"de acero 5orjado¯ gancho-ojo - 9"" (225 mm) 3⁄v"" (19 mm)",de acero 5orjado¯ gancho-ojo,"9"" (225 mm) 3⁄v"" (19 mm)",,375,410,450,538,enriquecido,baja,true
44070,kg,"de acero 5orjado¯ gancho-ojo - 12"" (300 mm) o⁄8"" (22 mm)",de acero 5orjado¯ gancho-ojo,"12"" (300 mm) o⁄8"" (22 mm)",,625,690,760,538,enriquecido,baja,true
44071,TENF-1,"de acero 5orjado¯ gancho-ojo - 2,250 kg 12"" (300 mm) 1"" (25 mm)",de acero 5orjado¯ gancho-ojo,"2,250 kg 12"" (300 mm) 1"" (25 mm)",,875,970,1070,538,enriquecido,media,true
44053,%-316A,"%ensores de acero¯ gancho-ojo - 40 kg 2 1⁄2"" (64 mm) 3⁄sx"" (5 mm)",%ensores de acero¯ gancho-ojo,"40 kg 2 1⁄2"" (64 mm) 3⁄sx"" (5 mm)",,17,19,21,538,enriquecido,baja,true
44054,%-14A,"%ensores de acero¯ gancho-ojo - 50 kg 3"" (75 mm) 1⁄v"" (6.5 mm)",%ensores de acero¯ gancho-ojo,"50 kg 3"" (75 mm) 1⁄v"" (6.5 mm)",,29,32,35,538,enriquecido,baja,true
44055,%-516A,"%ensores de acero¯ gancho-ojo - 100 kg 3 1⁄2"" (90 mm) 5⁄sx"" (8 mm)",%ensores de acero¯ gancho-ojo,"100 kg 3 1⁄2"" (90 mm) 5⁄sx"" (8 mm)",,39,43,47,538,enriquecido,baja,true
44056,%-38A,"%ensores de acero¯ gancho-ojo - 200 kg 4"" (100 mm) 3⁄8"" (10 mm)",%ensores de acero¯ gancho-ojo,"200 kg 4"" (100 mm) 3⁄8"" (10 mm)",,52,57,62,538,enriquecido,baja,true
43370,LLCANGA-M,Llave magnética para candado CANGA-100,Llave magnética para candado CANGA-100,,,295,295,295,598,enriquecido,alta,false
43369,CANGA-100,Caja con 100 candados para gancho exhibidor y llave,Caja con 100 candados para gancho exhibidor y llave,,,575,575,575,598,pendiente,alta,false
59988,PAPE-60,Paneles Caja con 100 candados para gancho exhibidor y llave - 60 × 60 cm,Paneles Caja con 100 candados para gancho exhibidor y llave,60 × 60 cm,,700,700,700,598,enriquecido,alta,false
59989,PAPE-80,Paneles Caja con 100 candados para gancho exhibidor y llave - 80 × 80 cm,Paneles Caja con 100 candados para gancho exhibidor y llave,80 × 80 cm,,1100,1100,1100,598,pendiente,alta,false
55337,PAPE-120,Paneles Caja con 100 candados para gancho exhibidor y llave - 60 × 120 cm,Paneles Caja con 100 candados para gancho exhibidor y llave,60 × 120 cm,,1300,1300,1300,598,pendiente,alta,false
55338,PAPE-180,Paneles Caja con 100 candados para gancho exhibidor y llave - 60 × 180 cm,Paneles Caja con 100 candados para gancho exhibidor y llave,60 × 180 cm,,1700,1700,1700,598,pendiente,alta,false
59990,PAPE-240,Paneles Caja con 100 candados para gancho exhibidor y llave - 120 × 240 cm,Paneles Caja con 100 candados para gancho exhibidor y llave,120 × 240 cm,,4500,4500,4500,598,enriquecido,alta,false
59991,PARA-60,Llave magnética para candado CANGA-100 - 60 × 60 cm,Llave magnética para candado CANGA-100,60 × 60 cm,,650,650,650,598,enriquecido,alta,false
59992,PARA-80,Llave magnética para candado CANGA-100 - 80 × 80 cm,Llave magnética para candado CANGA-100,80 × 80 cm,,900,900,900,598,enriquecido,alta,false
55135,PARA-140,Llave magnética para candado CANGA-100 - 60 × 140 cm,Llave magnética para candado CANGA-100,60 × 140 cm,,1000,1000,1000,598,pendiente,alta,false
55156,PARA-180,Llave magnética para candado CANGA-100 - 60 × 180 cm,Llave magnética para candado CANGA-100,60 × 180 cm,,1200,1200,1200,598,pendiente,alta,false
59993,PARA-240,Llave magnética para candado CANGA-100 - 120 × 240 cm,Llave magnética para candado CANGA-100,120 × 240 cm,,4000,4000,4000,598,enriquecido,alta,false
50159,GA-ML,Gancho metálico para herramienta mango largo - [_ (38 cm),Gancho metálico para herramienta mango largo,[_ (38 cm),,80,80,80,598,pendiente,alta,false
50150,GA-4X,metálicos rectos con portaetiqueta mango “Y” - ^ (10 cm),metálicos rectos con portaetiqueta mango “Y”,^ (10 cm),,12,12,12,598,pendiente,alta,false
50153,GA-6X,metálicos rectos con portaetiqueta mango “Y” - ` (15 cm),metálicos rectos con portaetiqueta mango “Y”,` (15 cm),,16,16,16,598,pendiente,alta,false
50156,GA-9X,metálicos rectos con portaetiqueta mango “Y” - c (23 cm),metálicos rectos con portaetiqueta mango “Y”,c (23 cm),,99,99,99,598,pendiente,alta,false
55962,GA-2P,plásticos rectos de - \ (5 cm),plásticos rectos de,\ (5 cm),,4,4,4,598,pendiente,alta,false
55963,GA-4P,plásticos rectos de - ^ (10 cm),plásticos rectos de,^ (10 cm),,5,5,5,598,pendiente,alta,false
55964,GA-6P,plásticos rectos de - ` (15 cm),plásticos rectos de,` (15 cm),,6,6,6,598,pendiente,alta,false
50146,GA-2,metálicos rectos Ganchos - \ (5 cm),metálicos rectos Ganchos,\ (5 cm),,8,8,8,598,pendiente,alta,false
50149,GA-4,metálicos rectos Ganchos - ^ (10 cm),metálicos rectos Ganchos,^ (10 cm),,9,9,9,598,pendiente,alta,false
50152,GA-6,metálicos rectos Ganchos - ` (15 cm),metálicos rectos Ganchos,` (15 cm),,10,10,10,598,pendiente,alta,false
50155,GA-8,metálicos rectos Ganchos - b (20 cm),metálicos rectos Ganchos,b (20 cm),,11,11,11,598,pendiente,alta,false
50255,C-41X20X12,Gaveta plástica acero - 42 × 21 × 12 cm,Gaveta plástica acero,42 × 21 × 12 cm,,175,175,175,598,pendiente,alta,false
50253,C-80X21X12,Gaveta plástica acero - 81 × 22 × 12 cm,Gaveta plástica acero,81 × 22 × 12 cm,,250,250,250,598,pendiente,alta,false
50252,C-39X33X14,Gaveta plástica acero - 42 × 34 × 14 cm,Gaveta plástica acero,42 × 34 × 14 cm,,250,250,250,598,pendiente,alta,false
50251,C-59X33X14,Gaveta plástica acero - 60 × 34 × 14 cm,Gaveta plástica acero,60 × 34 × 14 cm,,40,40,40,598,pendiente,alta,false
55950,VITRO-G,Gaveta plástica,Gaveta plástica,,,40,40,40,598,pendiente,alta,false
50163,GA-D,Gancho metálico para herramienta mango “Y” - [[ (28 cm),Gancho metálico para herramienta mango “Y”,[[ (28 cm),,99,99,99,598,pendiente,alta,false
10259,GA-10R,Gancho metálico recto reforzado con portaetiqueta - [Y (25 cm),Gancho metálico recto reforzado con portaetiqueta,[Y (25 cm),,42,42,42,598,pendiente,alta,false
59962,GA-4D,dobles para perfocel y panel con portaetiqueta mango largo - ^ (10 cm),dobles para perfocel y panel con portaetiqueta mango largo,^ (10 cm),,12,12,12,598,pendiente,alta,false
59963,GA-6D,dobles para perfocel y panel con portaetiqueta mango largo - ` (15 cm),dobles para perfocel y panel con portaetiqueta mango largo,` (15 cm),,15,15,15,598,pendiente,alta,false
59964,GA-8D,dobles para perfocel y panel con portaetiqueta mango largo - b (20 cm),dobles para perfocel y panel con portaetiqueta mango largo,b (20 cm),,80,80,80,598,pendiente,alta,false
