codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf
16629,,CAMO-18E,,"Motosierra eléctrica1,600 W , barra de 18"" »",,,"Cadena de 18""",375,410,450,450,,False,media,True,276,True
16630,,BAMO-18E,,"Motosierra eléctrica1,600 W , barra de 18"" »",,,"Barra de 18""",425,465,515,515,,False,media,True,276,True
16631,,BAMO-3814,"Barras para motosierra, MOT-3814",Barras para motosierra,,,MOT-3814,490,540,590,590,,True,alta,False,275,True
16632,,BAMO-5016,"Barras para motosierra, MOT-5016",Barras para motosierra,,,MOT-5016,585,645,710,710,,True,alta,False,275,True
16633,,BAMO-5018,"Barras para motosierra, MOT-5018",Barras para motosierra,,,MOT-5018,625,690,760,760,,True,alta,False,275,True
16634,,BAMO-5020,"Barras para motosierra, MOT-5020",Barras para motosierra,,,MOT-5020,675,745,820,820,,True,alta,False,275,True
16635,,CAMO-3814,"Cadenas para motosierra, MOT-3814",Cadenas para motosierra,,,MOT-3814,305,335,365,365,,True,alta,False,275,True
16636,,CAMO-5016,"Cadenas para motosierra, MOT-5016",Cadenas para motosierra,,,MOT-5016,515,565,625,625,,True,alta,False,275,True
16637,,CAMO-5018,"Cadenas para motosierra, MOT-5018",Cadenas para motosierra,,,MOT-5018,555,615,680,680,,True,alta,False,275,True
16638,,CAMO-5020,"Cadenas para motosierra, MOT-5020",Cadenas para motosierra,,,MOT-5020,595,655,720,720,,True,alta,False,275,True
16666,,ROTO-1/2NX2,,,,,Rotomartillo,2175,2375,2375,2375,,False,baja,True,236,True
16673,,PULA-7N,"Pulidora rotativa 7"" , 1,200 W","Pulidora rotativa 7"" , 1,200 W",,,,2350,2590,2590,2590,,True,alta,False,252,True
16683,,ESMA-4-1/2A9,"Esmeriladora 4 i|t"", 800 W","Esmeriladora 4 i|t"", 800 W",,,,635,670,705,705,,True,alta,True,234,True
16684,,ESMA-4-1/2A10,"Esmeriladora 4 i|t"", 1,300 W","Esmeriladora 4 i|t"", 1,300 W",,,,1075,1125,1175,1175,,True,alta,True,234,True
16705,,JSCA-16-T,"Blísters con 16 seguetas, “T”",Blísters con 16 seguetas,,,“T”,175,195,215,215,,True,alta,False,325,True
