codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf,motivo_revision
46253,,AD-32N,"Bolsa con 2 adaptadores 3 a 2 naranjas, VOLTECK",Adaptadores 3 a 2,VOLTECK,Multicontactos y adaptadores,Naranja,24,29,29,29,,True,alta,True,410,True,discrepancia_descripcion
46274,,POSE-360,"Portalámpara con sensor de movimiento 360°, VOLTECK",Portalámpara de policarbonato con sensor de movimiento,VOLTECK,Portalámparas,,150,165,180,180,,True,alta,True,414,True,discrepancia_descripcion
46279,,CAN-1212,"Canaleta de 1 vía 12 x 12 mm, VOLTECK","Canaletas, 2 m",VOLTECK,"Accesorios de audio y video <span class=""Torange"">|</span> Antenas interiores",L 12 × A 12 mm NA,17,19,21,21,,True,alta,True,381,True,discrepancia_descripcion
46280,,CAN-1020,"Canaleta de 1 vía 10 x 20 mm, VOLTECK","Canaletas, 2 m",VOLTECK,"Accesorios de audio y video <span class=""Torange"">|</span> Antenas interiores",L 20 × A 10 mm NA,21,23,25,25,,True,alta,True,381,True,discrepancia_descripcion
46281,,CAN-1720,"Canaleta de 1 vía 17 x 20 mm, VOLTECK","Canaletas, 2 m",VOLTECK,"Accesorios de audio y video <span class=""Torange"">|</span> Antenas interiores",L 20 × A 17 mm NA,29,32,35,35,,True,alta,True,381,True,discrepancia_descripcion
46282,,CAN-1735,"Canaleta de 1 vía 17 x 35 mm, VOLTECK","Canaletas, 2 m",VOLTECK,"Accesorios de audio y video <span class=""Torange"">|</span> Antenas interiores",L 35 × A 17 mm NA,39,43,47,47,,True,alta,True,381,True,discrepancia_descripcion
46285,,VW-207,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46287,,VW-011,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46297,,SUB-820F,,,,,"Fría 6,500 K 30 * 2¯600 lm 41 24 cm",895,990,1090,1090,,False,baja,True,447,True,clave_ambigua;descripcion_ambigua;discrepancia_clave;extraccion_ambigua
46298,,VW-208,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46299,,ANG-01BL,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46301,,DIM-CL2,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46309,,ZI-AA,"Blíster con 4 pilas zinc-carbón AA, VOLTECK","Pilas AA, zinc-carbón",VOLTECK,Pilas,,18,20,22,22,,True,alta,True,413,True,discrepancia_descripcion
46311,,ZI-D,"Blíster con 2 pilas zinc-carbón D, VOLTECK","Pilas C y D, zinc-carbón",VOLTECK,Pilas,,28,31,34,34,,True,alta,True,413,True,discrepancia_descripcion
46312,,ZI-9V,"Blíster con 1 pila zinc-carbón 9 V, VOLTECK","Pila 9 V, zinc-carbón",VOLTECK,Pilas,,18,20,22,22,,True,alta,True,413,True,discrepancia_descripcion
