codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_publico,pagina_catalogo,confianza_extraccion,requiere_revision,elegible_para_maestro
18323,ST-1460E,,,"60 4,500 rpm orte 5ino",,1455,157,media,True,False
18324,ST-760,"Discos sierra para madera , para sierras circulares, `Y 8,000 rpm orte 5ino","Discos sierra para madera , para sierras circulares","`Y 8,000 rpm orte 5ino",,390,156,alta,False,True
18406,,Cortador de ramas sin mango,Cortador de ramas sin mango,,,,374,baja,True,False
18410,Clave,"Cortador de ramas sin mango, Largo hoja de corte Mayoreo i|t Mayoreo PHblico NC",Cortador de ramas sin mango,Largo hoja de corte Mayoreo i|t Mayoreo PHblico NC,,,374,baja,True,False
18653,TALI-12AC,"Herramienta, 1 batería de 2 Ah y cargador","Herramienta, 1 batería de 2 Ah y cargador",,,820,263,alta,False,True
18800,LINA-2AAN,"Linternas LED de aluminio, de pilas, 110 m 16 × 3 cm 100 g 2 AA 3","Linternas LED de aluminio, de pilas",110 m 16 × 3 cm 100 g 2 AA 3,,290,201,alta,False,True
18813,LINA-2DN,"Linternas LED de aluminio, de pilas, 260 m 21 × 5 cm 370 g 2 D 2","Linternas LED de aluminio, de pilas",260 m 21 × 5 cm 370 g 2 D 2,,575,201,alta,False,True
18814,LINA-3DN,"Linternas LED de aluminio, de pilas, 300 m 27 × 5 cm 430 g 3 D 2","Linternas LED de aluminio, de pilas",300 m 27 × 5 cm 430 g 3 D 2,,700,201,alta,False,True
19000,Clave,"Accesorios para PIPI-27 y PIPI-26, CajaMáster May. i|tMay. Púb.",Accesorios para PIPI-27 y PIPI-26,CajaMáster May. i|tMay. Púb.,,,111,baja,True,False
19100,m,Ancho 19 mm,Ancho 19 mm,,,105,94,baja,True,False
1915,m,Ancho 19 mm,Ancho 19 mm,,,16,94,baja,True,False
19211,CHAP-14,,,,PRETUL,51,297,media,True,False
19213,EXTA-27,"Extensiones telescópicas de aluminio, 2.7 m (8.8 )",Extensiones telescópicas de aluminio,2.7 m (8.8 ),,225,297,alta,False,True
19216,EXTA-20,"Extensiones telescópicas de aluminio, 2 m (6.5 )",Extensiones telescópicas de aluminio,2 m (6.5 ),,152,297,alta,False,True
1925,,,53 L,,,990,77,baja,True,False
