codigo,codigo_barras,clave,descripcion,marca,categoria
43680,,NUCH-2,"Número 2 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43751,,POCZ-600,"Portacandado de acero galvanizado 6"", HERMEX",HERMEX,Cerrajería (accesorios)
45721,,PAS-41,"Pasador de barril de acero latón 4"", HERMEX",HERMEX,Cerrajería (accesorios)
43697,,PAS-66,"Pasador de barril 6"" de acero acabado negro, HERMEX",HERMEX,Cerrajería (accesorios)
45722,,PAS-31,"Pasador de barril de acero latón 3"", HERMEX",HERMEX,Cerrajería (accesorios)
45723,,PAS-21,"Pasador de barril de acero latón 2"", HERMEX",HERMEX,Cerrajería (accesorios)
43681,,NUCH-3,"Número 3 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43068,,CALLA-36,"Caja con 36 ganchos para llaves, HERMEX",HERMEX,"Cajas de seguridad, para dinero y para llaves <span class=""Torange"">|</span> Duplicadoras"
43999,,CEMA-4R,"Cerradura manija ""Turín"" p/recámara níquel satinado, HERMEX",HERMEX,Cerraduras de manija
49882,,GUPO-100AD,"Guardapolvo automático 100 cm dorado, HERMEX",HERMEX,Cerrajería / Guardapolvos
43682,,NUCH-4,"Número 4 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43730,,POCL-175,"Portacandado de acero latonado 1-3/4"", HERMEX",HERMEX,Cerrajería (accesorios)
43678,,NUCH-0,"Número 0 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43683,,NUCH-5,"Número 5 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43026,,CEP-11JJ,"Doble jaladera, Lugo llave-mariposa,Latón Brillante,HERMEX",HERMEX,Cerraduras para entrada principal
47423,,CEMA-13R,"Cerradura manija ""Siena"" p/recámara cromo mate, HERMEX",HERMEX,Cerraduras de manija
43684,,NUCH-6,"Número 6 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
47854,,NUCH-1N,"Número 1 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
45730,,PAS-53,"Pasador de barril de acero cromo 5"", HERMEX",HERMEX,Cerrajería (accesorios)
43685,,NUCH-7,"Número 7 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43686,,NUCH-8,"Número 8 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43687,,NUCH-9,"Número 9 de latón sólido 4"", latón brillante, HERMEX",HERMEX,Cerrajería (accesorios)
43750,,POCL-600,"Portacandado de acero latonado 6"", HERMEX",HERMEX,Cerrajería (accesorios)
45720,,PAS-51,"Pasador de barril de acero latón 5"", HERMEX",HERMEX,Cerrajería (accesorios)
44034,,CEMA-4B,"Cerradura manija ""Turín"" p/baño níquel satinado, HERMEX",HERMEX,Cerraduras de manija
45729,,PAS-63,"Pasador de barril de acero cromo 6"", HERMEX",HERMEX,Cerrajería (accesorios)
47856,,NUCH-3N,"Número 3 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
49878,,GUPO-90AD,"Guardapolvo automático 90 cm dorado, HERMEX",HERMEX,Cerrajería / Guardapolvos
47853,,NUCH-0N,"Número 0 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
47857,,NUCH-4N,"Número 4 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
47858,,NUCH-5N,"Número 5 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
45652,,PER-076,"Perilla estilo ""Moderno"" acabado negro, HERMEX",HERMEX,Jaladeras y perillas para mueble
47859,,NUCH-6N,"Número 6 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
45649,,PER-036,"Perilla estilo ""Cilindro"" acabado negro, HERMEX",HERMEX,Jaladeras y perillas para mueble
47860,,NUCH-7N,"Número 7 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
45719,,PAS-61,"Pasador de barril de acero latón 6"", HERMEX",HERMEX,Cerrajería (accesorios)
47861,,NUCH-8N,"Número 8 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
45651,,PER-026,"Perilla estilo ""Arco"" acabado negro, HERMEX",HERMEX,Jaladeras y perillas para mueble
47862,,NUCH-9N,"Número 9 de latón sólido 4"", negro, HERMEX",HERMEX,Cerrajería (accesorios)
45648,,PER-096,"Perilla estilo ""Andamio"" acabado negro, HERMEX",HERMEX,Jaladeras y perillas para mueble
43668,,CB-DUP-200,"Bolsa con 2 carbones de repuesto para DUP-200, HERMEX",HERMEX,Carbones de repuesto
45650,,PER-016,"Perilla estilo ""Contempo"" acabado negro, HERMEX",HERMEX,Jaladeras y perillas para mueble
43909,,CILE-704,"Cilindro Europeo de 70mm,llave-llave, HERMEX",HERMEX,"Cerraduras para entrada principal <span class=""Torange"">|</span> Cerraduras de embutir y para perfil de aluminio"
27047,,CS-75DP,"Cerradura sobreponer der instala-fácil, caja, HERMEX BASIC",HERMEX BASIC,Cerraduras de sobreponer
27046,,CS-75IP,"Cerradura sobreponer izq instala-fácil, caja, HERMEX BASIC",HERMEX BASIC,Cerraduras de sobreponer
43505,,CB-40D,"Cerradura de barra fija, derecha, HERMEX",HERMEX,"Cerraduras de sobreponer<span class=""Torange"">|</span>Cerraduras de barra"
43507,,CB-40I,"Cerradura de barra fija, izquierda, HERMEX",HERMEX,"Cerraduras de sobreponer<span class=""Torange"">|</span>Cerraduras de barra"
43518,,CB-45I,"Cerradura de barra libre, izquierda, HERMEX",HERMEX,"Cerraduras de sobreponer<span class=""Torange"">|</span>Cerraduras de barra"
43516,,CB-45D,"Cerradura de barra libre, derecha, HERMEX",HERMEX,"Cerraduras de sobreponer<span class=""Torange"">|</span>Cerraduras de barra"
43325,,CH-50L,"Candado de hierro 50 mm, gancho largo en caja, HERMEX",HERMEX,Candados de hierro
43324,,CH-45L,"Candado de hierro 45 mm, gancho largo en caja, HERMEX",HERMEX,Candados de hierro
43323,,CH-38L,"Candado de hierro 38 mm, gancho largo en caja, HERMEX",HERMEX,Candados de hierro
43327,,CHB-45L,"Candado de hierro 45 mm, gancho largo en blíster, HERMEX",HERMEX,Candados de hierro
43316,,CH-45,"Candado de hierro 45 mm, gancho corto en caja, HERMEX",HERMEX,Candados de hierro
43315,,CH-38,"Candado de hierro 38 mm, gancho corto en caja, HERMEX",HERMEX,Candados de hierro
43030,,GUPO-100A,"Guardapolvo fijo de 100 cm, aluminio, HERMEX",HERMEX,Cerrajería / Guardapolvos
43317,,CH-50,"Candado de hierro 50 mm, gancho corto en caja, HERMEX",HERMEX,Candados de hierro
43464,,CEPO-31R,"Cerradura tipo esfera para recámara, cromo mate, HERMEX",HERMEX,Cerraduras de pomo
43328,,CHB-50L,"Candado de hierro 50 mm, gancho largo en blíster, HERMEX",HERMEX,Candados de hierro
43470,,CEPO-21R,"Cerradura tipo esfera para recámara, latón antiguo, HERMEX",HERMEX,Cerraduras de pomo
43326,,CHB-38L,"Candado de hierro 38 mm, gancho largo en blíster, HERMEX",HERMEX,Candados de hierro
43196,,BR-301,"Bisagra rectangular 3 x 2"", acero latonado, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43033,,GUPO-100N,"Guardapolvo fijo de 100 cm, negro, HERMEX",HERMEX,Cerrajería / Guardapolvos
43195,,BR-251,"Bisagra rectangular 2-1/2 x 1-5/8"", acero latonado, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43031,,GUPO-100B,"Guardapolvo fijo de 100 cm, blanco, HERMEX",HERMEX,Cerrajería / Guardapolvos
20508,,CM-50X4P,"Juego de 4 candados cuerpo laminado, 50 mm, HERMEX BASIC",HERMEX BASIC,Candados de acero
43194,,BR-201,"Bisagra rectangular 2 x 1-1/2"", acero latonado, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43793,,CH-32L,"Candado de hierro 32 mm, gancho largo en caja, HERMEX",HERMEX,Candados de hierro
