codigo_truper,codigo_barras,clave,descripcion,marca,categoria,precio_venta,existencia,datos_completos
44879,,PPG-12TM,,,,,,False
44880,,FLV-030Y,,,,,,False
44881,,FLV-120N,,,,,,False
44882,,AEM-40,,,,,,False
44883,,AEM-46,,,,,,False
44884,,ALPU15-100,,,,,,False
44885,,ALPU12-30,,,,,,False
44886,,ALPU12-34,,,,,,False
44887,,ALPU15-300,,,,,,False
44888,,ALPU15-360,,,,,,False
44889,,AEM-48,,,,,,False
44890,,PIQU-8X3/4,,,,,,False
44891,,PIQU-8X1,,,,,,False
44892,,PIQU-8X1-1/4,,,,,,False
44893,,PIQU-8X1-1/2,,,,,,False
44894,,PIQU-8X1-3/4,,,,,,False
44895,,PIQU-8X2,,,,,,False
44896,,PIQU-8X2-1/2,,,,,,False
44897,,PIQU-8X3,,,,,,False
44898,,AEM-49,,,,,,False
44899,,AEM-92,,,,,,False
44900,,CLV-17N,"Caja con 500 clavillos niquelados de 17 mm, FIERO",FIERO,"Tornillería / Productos con presentación en blíster <span class=""Torange"">|</span> Clavillos, tachuelas y chinches | Racks para tornillería",,,True
44901,,CLV-17D,"Caja con 500 clavillos dorados de 17 mm, FIERO",FIERO,"Tornillería / Productos con presentación en blíster <span class=""Torange"">|</span> Clavillos, tachuelas y chinches | Racks para tornillería",,,True
44902,,AEF-84,,,,,,False
44903,,AEF-86,,,,,,False
44904,,AEF-85,,,,,,False
44905,,AEMR-62,,,,,,False
44906,,AEM-72,,,,,,False
44914,,CPVC-714,,,,,,False
44915,,CPVC-715,,,,,,False
44916,,CPVC-704,,,,,,False
44917,,CPVC-705,,,,,,False
44918,,CPVC-655,,,,,,False
44920,,PUCO-A45,,,,,,False
44921,,PUCO-M45,,,,,,False
44922,,CPVC-656,,,,,,False
44923,,CPVC-645,,,,,,False
44924,,PPVCV-50,,,,,,False
44925,,PPVCV-90,,,,,,False
44926,,PPVCV-145,,,,,,False
44927,,PPVCV-250,,,,,,False
44928,,PPVCV-500,,,,,,False
44929,,CPVC-646,,,,,,False
44930,,TAVO-3,,,,,,False
44931,,TAVO-4,,,,,,False
44932,,TAVO-6,,,,,,False
44933,,TAVO-8,,,,,,False
44934,,TAVO-10,,,,,,False
44935,,TAVO-11,,,,,,False
44936,,TAVO-12,,,,,,False
44937,,TAVO-14,,,,,,False
44938,,TAVO-16,,,,,,False
44949,,TEMO-06FG,,,,,,False
44950,,TEMO-06PV,,,,,,False
44951,,TEMO-07PV,,,,,,False
44952,,TEMO-09PV,,,,,,False
44953,,TEMO-10PV,,,,,,False
44954,,TEMO-12PV,,,,,,False
44955,,TEMO-15PV,,,,,,False
44956,,TEMO-17PV,,,,,,False
44957,,TEMO-06PG,,,,,,False
44958,,TEMO-07PG,,,,,,False
44959,,TEMO-09PG,,,,,,False
44960,,TEMO-10PG,,,,,,False
44961,,TEMO-12PG,,,,,,False
44962,,TEMO-15PG,,,,,,False
44963,,TEMO-17PG,,,,,,False
44964,,TEMO-07FG,,,,,,False
44965,,TEMO-09FG,,,,,,False
44969,,GRI-3/8,"Grillete acero forjado 3/8"" carga 1000 kg, galvanizado FIERO",FIERO,"Cadenas y cables / Nudos, grilletes y tensores",,,True
44970,,GRI-7/16,"Grillete acero forjado 7/16"" carga 1500kg, galvanizado FIERO",FIERO,"Cadenas y cables / Nudos, grilletes y tensores",,,True
44971,,GRI-1/2,"Grillete acero forjado 1/2"" carga 2000 kg, galvanizado FIERO",FIERO,"Cadenas y cables / Nudos, grilletes y tensores",,,True
44972,,GRI-5/8,"Grillete acero forjado 5/8"" carga 3250 kg, galvanizado FIERO",FIERO,"Cadenas y cables / Nudos, grilletes y tensores",,,True
44973,,GRI-3/4,"Grillete acero forjado 3/4"" carga 4750 kg, galvanizado FIERO",FIERO,"Cadenas y cables / Nudos, grilletes y tensores",,,True
44974,,GRI-7/8,"Grillete acero forjado 7/8""carga 6500 kg, galvanizado FIERO",FIERO,"Cadenas y cables / Nudos, grilletes y tensores",,,True
44975,,GRI-1,"Grillete acero forjado 1"" carga 8500 kg, galvanizado FIERO",FIERO,"Cadenas y cables / Nudos, grilletes y tensores",,,True
44980,,MAPLA-5090,,,,,,False
44981,,TEMO-10FG,,,,,,False
44982,,TEMO-12FG,,,,,,False
44983,,TEMO-15FG,,,,,,False
44984,,TEMO-06FN,,,,,,False
44985,,ALCA-20,"Bolsa con 144 alcayatas roscadas de 16 X 20, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44986,,ALCA-50,"Bolsa con 144 alcayatas roscadas de 18 X 50, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44987,,ALCA-60,"Bolsa con 144 alcayatas roscadas de 19 X 60, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44988,,ALCA-70,"Bolsa con 144 alcayatas roscadas de 20 X 70, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44989,,ALCA-80,"Bolsa con 144 alcayatas roscadas de 21 X 80, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44990,,ALCA-90,"Bolsa con 144 alcayatas roscadas de 22 X 90, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44991,,ALCA-100,"Bolsa con 144 alcayatas roscadas de 22 X 100, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44992,,ALCA-110,"Bolsa con 72 alcayatas roscadas de 23 X 110, FIERO",FIERO,"Tornillería / Taquetes plásticos y de madera | Armellas, alcayatas, sujetadores tipo mariposa, colgadores y grapas",,,True
44993,,TEMO-07FN,,,,,,False
44994,,TEMO-09FN,,,,,,False
44995,,TEMO-10FN,,,,,,False
44996,,TEMO-12FN,,,,,,False
44997,,TEMO-15FN,,,,,,False
44998,,CEP-11PJC,,,,,,False
44999,,CEP-31PJC,,,,,,False
45004,,CCH-4X4P,"Caja de registro cuadrada 4"" plástica, VOLTECK",VOLTECK,"Chalupas, cajas de registro y botes integrales",,,True
45005,,CCH-2X4P,"Caja tipo chalupa 2 x 4"" plástica, VOLTECK",VOLTECK,"Chalupas, cajas de registro y botes integrales",,,True
45006,,CCH-2X4E,"Caja tipo chalupa 2 x 4"" metálica, VOLTECK BASIC",VOLTECK,"Chalupas, cajas de registro y botes integrales",,,True
45007,,CCH-4X4E,"Caja de registro cuadrada 4"" metálica, VOLTECK BASIC",VOLTECK,"Chalupas, cajas de registro y botes integrales",,,True
